t,m,j,u,Price
2003,Bocas del Toro,Aceite Vegetal,kg,18.16996872
2003,Bocas del Toro,Aguacates,kg,1.52E-06
2003,Bocas del Toro,Ahí Verde,kg,0.1360793585
2003,Bocas del Toro,Ajo,kg,0.1814383027
2003,Bocas del Toro,Alimento Infantil,kg,6.30E-06
2003,Bocas del Toro,Apio,kg,0.1360796054
2003,Bocas del Toro,Arroz,kg,0.068039075
2003,Bocas del Toro,Arvejas,kg,0.2721552108
2003,Bocas del Toro,Azúcar,kg,0.2555388
2003,Bocas del Toro,Café Y Té,kg,0.2834972727
2003,Bocas del Toro,Carne De Res,kg,0.680388
2003,Bocas del Toro,Carnes De Puerco,kg,0.6329190417
2003,Bocas del Toro,Cebolla,kg,0.1133986849
2003,Bocas del Toro,Cereales Y Cremas,kg,0.1360791618
2003,Bocas del Toro,Chocolates,kg,1.315420593
2003,Bocas del Toro,Cigarrillo Y Tabaco,kg,0.0001666666667
2003,Bocas del Toro,Cocos (Pipas),kg,0.056699
2003,Bocas del Toro,Condimentos,kg,0.3628802964
2003,Bocas del Toro,"Culanto, Perejil, Cebollina",kg,0.226801
2003,Bocas del Toro,Embutidos,kg,0.2948369526
2003,Bocas del Toro,Enlatados Y Envasados,kg,2.59E-06
2003,Bocas del Toro,Frijoles,kg,0.3175143946
2003,Bocas del Toro,Galletas / Pasteles Y Dulces,kg,0.6520402226
2003,Bocas del Toro,Gelatinas,kg,0.1559244525
2003,Bocas del Toro,Guineos (Bananos),kg,0.01079980952
2003,Bocas del Toro,Harina De Trigo,kg,0.1360776054
2003,Bocas del Toro,Helados,kg,23.84808372
2003,Bocas del Toro,Huevos De Gallina,kg,2.00E-06
2003,Bocas del Toro,Lecha Evaporada,kg,2.06E-06
2003,Bocas del Toro,Leche En Polvo,kg,1.816776514
2003,Bocas del Toro,Leche Líquida,kg,12.52970688
2003,Bocas del Toro,Lechuga,kg,0.2721551928
2003,Bocas del Toro,Lentejas,kg,0.2721552108
2003,Bocas del Toro,Limones,kg,5.95E-07
2003,Bocas del Toro,Manteca,kg,0.1553559642
2003,Bocas del Toro,Mantequilla,kg,0.3061783419
2003,Bocas del Toro,Manzanas,kg,0.453592
2003,Bocas del Toro,Margarina,kg,0.22679785
2003,Bocas del Toro,Mariscos,kg,0.5830564931
2003,Bocas del Toro,Mayonesa,kg,6.14E-06
2003,Bocas del Toro,Maíz De Grano,kg,0.0907184
2003,Bocas del Toro,Maíz De Mazorca,kg,0.07820552066
2003,Bocas del Toro,Melones,kg,0.2154562018
2003,Bocas del Toro,Miel,kg,5.66E-06
2003,Bocas del Toro,Naranjas,kg,0.04123563547
2003,Bocas del Toro,Otoes,kg,0.1360776054
2003,Bocas del Toro,Pan De Sal Y Pan De Dulce,kg,0.0907194
2003,Bocas del Toro,"Panela, Raspadura, Etc",kg,0.2041164
2003,Bocas del Toro,Papas,kg,0.1814368072
2003,Bocas del Toro,Papayas,kg,0.1279362048
2003,Bocas del Toro,Pastas Alimenticias,kg,0.1474181446
2003,Bocas del Toro,Pastas De Tomate,kg,3.84E-06
2003,Bocas del Toro,Pastillas Y Confites,kg,0.3401956667
2003,Bocas del Toro,Pepino,kg,0.113398
2003,Bocas del Toro,Pescados,kg,0.453592
2003,Bocas del Toro,Picaritas,kg,6.13E-06
2003,Bocas del Toro,Piñas,kg,0.1511973333
2003,Bocas del Toro,Plátanos Verdes,kg,0.04361461698
2003,Bocas del Toro,Pollo O Gallina,kg,0.453592
2003,Bocas del Toro,Porotos,kg,0.3628736054
2003,Bocas del Toro,Preparación De Maíz,kg,0.1360783407
2003,Bocas del Toro,Primer otro,kg,0.1814388909
2003,Bocas del Toro,Queso (Blanco Y Amarillo),kg,0.453595125
2003,Bocas del Toro,Raspados Y Duros,kg,1.87E-06
2003,Bocas del Toro,Remolacha,kg,0.1360790443
2003,Bocas del Toro,Repollo,kg,0.226796
2003,Bocas del Toro,Sal,kg,0.05669938149
2003,Bocas del Toro,Sandias,kg,0.1412659129
2003,Bocas del Toro,Sardina Y Atún,kg,0.1133998309
2003,Bocas del Toro,Segundo otro,kg,0.2041163973
2003,Bocas del Toro,"Sodas, Refrescos Y Jugos",kg,7.003013468
2003,Bocas del Toro,Sopa Enlatada,kg,5.83E-06
2003,Bocas del Toro,Tercer otro,kg,4.75E-06
2003,Bocas del Toro,Tomate,kg,0.2721552108
2003,Bocas del Toro,Viscera De Res,kg,0.5443104036
2003,Bocas del Toro,Visceras De Pollo O Gallina,kg,0.3023946667
2003,Bocas del Toro,Yuca,kg,0.09071840135
2003,Bocas del Toro,Zanahoria,kg,0.1020584473
2003,Bocas del Toro,Zapallo / Chayote,kg,0.113398
2003,Bocas del Toro,Ñame,kg,0.1814368027
2003,Chíriqui,Aceite Vegetal,kg,18.45387375
2003,Chíriqui,Aguacates,kg,0.148835632
2003,Chíriqui,Ahí Verde,kg,0.2721552108
2003,Chíriqui,Ajo,kg,0.1589703443
2003,Chíriqui,Alimento Infantil,kg,0.9525464788
2003,Chíriqui,Apio,kg,0.1190699014
2003,Chíriqui,Arroz,kg,0.06803905
2003,Chíriqui,Arvejas,kg,0.2494756009
2003,Chíriqui,Azúcar,kg,0.3012119003
2003,Chíriqui,Café Y Té,kg,0.3175166673
2003,Chíriqui,Carne De Res,kg,0.7257472288
2003,Chíriqui,Carnes De Puerco,kg,0.2834965
2003,Chíriqui,Cebolla,kg,0.563398003
2003,Chíriqui,Cereales Y Cremas,kg,0.1338111831
2003,Chíriqui,Chocolates,kg,0.3061786887
2003,Chíriqui,Cigarrillo Y Tabaco,kg,0.0001666666667
2003,Chíriqui,Cocos (Pipas),kg,0.05154454434
2003,Chíriqui,Condimentos,kg,0.3628807429
2003,Chíriqui,"Culanto, Perejil, Cebollina",kg,0.1814393
2003,Chíriqui,Embutidos,kg,0.2948364992
2003,Chíriqui,Enlatados Y Envasados,kg,2.29E-06
2003,Chíriqui,Frijoles,kg,0.1133987726
2003,Chíriqui,Galletas / Pasteles Y Dulces,kg,0.2267975714
2003,Chíriqui,Gelatinas,kg,0.351535848
2003,Chíriqui,Guineos (Bananos),kg,0.02267970256
2003,Chíriqui,Harina De Trigo,kg,0.1360776054
2003,Chíriqui,Helados,kg,10.22060825
2003,Chíriqui,Huevos De Gallina,kg,2.00E-06
2003,Chíriqui,Lecha Evaporada,kg,1.94E-06
2003,Chíriqui,Leche En Polvo,kg,1.736644794
2003,Chíriqui,Leche Líquida,kg,10.40987768
2003,Chíriqui,Lechuga,kg,0.1814368072
2003,Chíriqui,Lentejas,kg,0.2721552108
2003,Chíriqui,Limones,kg,0.2041164014
2003,Chíriqui,Manteca,kg,0.1474184815
2003,Chíriqui,Mantequilla,kg,0.2494766573
2003,Chíriqui,Manzanas,kg,0.136078344
2003,Chíriqui,Margarina,kg,0.2245295598
2003,Chíriqui,Mariscos,kg,1.020582
2003,Chíriqui,Mayonesa,kg,5.91E-06
2003,Chíriqui,Maíz De Grano,kg,0.113398
